3.959354590232028404e+00 9.019698645886716548e+00 7.376559267119817687e-01 1.217511078727908647e+01
4.811786502928186771e+00 1.995142251020517676e+01 8.123175233682631280e-01 2.853221471874746484e+01
4.061504300574741322e+00 9.915052488195819080e+00 6.565011031216030357e-01 1.373093845264214785e+01
3.785246236793696983e+00 7.604877007479351469e+00 6.257912116903562305e-01 1.056356864645809779e+01
4.009598277253973109e+00 9.356456787791850971e+00 7.449031066739110196e-01 1.269440849315830633e+01
4.486241123093276606e+00 1.424518270486937155e+01 7.935982736962665651e-01 2.011457474540710777e+01
3.968815670208054591e+00 9.488854114583412880e+00 7.259077646836201714e-01 1.246237660211209786e+01
4.559631107407607686e+00 1.590980872103046728e+01 7.763988642687993380e-01 2.201750356922196872e+01
4.255343514540012251e+00 1.199875151450425648e+01 7.609094876000419561e-01 1.655402997584712921e+01
3.911758156964439070e+00 8.329721213012200920e+00 7.788024742515027299e-01 1.169774465078446113e+01
3.772755556302619162e+00 7.946379687639219647e+00 7.236391910954170781e-01 1.029197374678699539e+01
3.768371764587554740e+00 7.808058643684894662e+00 7.321888274919570172e-01 1.012547169028454164e+01
3.963402551996884959e+00 8.047896973711074153e+00 8.409280052767950098e-01 1.224997594561414438e+01
3.976981912541897923e+00 8.940084527116971103e+00 7.669630669361556796e-01 1.247640435508804302e+01
4.091791273346846225e+00 1.027748977440778155e+01 7.734390368900797563e-01 1.384131961656718701e+01
